URL Parameter
utm_source=affiliate&utm_medium=textlink&utm_campaign=Casino_NKBonusLP_INT&utm_content=INT
utm_source=coop&utm_medium=9272_forza_ch&utm_campaign=odds_integration&utm_content=lang_de&utm_term=odds&showbet=true
utm_source=coop&utm_medium=9280_ORF&utm_campaign=olympia_22&utm_content=lang_de&utm_term=preroll
promoname=vipaff&utm_source=affiliate&utm_medium=textlink&utm_campaign=Promo3_D&utm_content=Promo3
utm_source=coop&utm_medium=9191_onefootball_ch&utm_campaign=odds_integration&utm_content=lang_de&utm_term=odds
utm_source=coop&utm_medium=9272_forza_ch&utm_campaign=odds_integration&utm_content=lang_de&utm_term=odds
utm_source=coop&utm_medium=9276_E2_AT&utm_campaign=100_bonus&utm_content=lang_de&utm_term=popunder
utm_source=affiliate&utm_medium=textlink&utm_campaign=Sportsbook&utm_content=DACH
utm_source=coop&utm_medium=9275_SR_AT&utm_campaign=100_bonus&utm_content=lang_de&utm_term=popunder
utm_source=coop&utm_medium=9242_Livescore_App&utm_campaign=lothar_challenge_0122&utm_content=lang_de&utm_term=banner_320x50
utm_source=coop&utm_medium=9280_ORF&utm_campaign=goldenticket_21_22&utm_content=lang_de&utm_term=preroll
utm_source=coop&utm_medium=9241_fotmob_ch&utm_campaign=odds_integration&utm_content=lang_de&utm_term=odds
utm_source=coop&utm_medium=8661_livescore_app_ch&utm_campaign=odds_integration&utm_content=lang_de&utm_term=odds
utm_source=coop&utm_medium=9242_livescore_ch&utm_campaign=odds_integration&utm_content=lang_de&utm_term=odds&showbet=true
utm_source=affiliate&utm_medium=textlink&utm_campaign=InterwettenMPCH&utm_content=DE
utm_source=coop&utm_medium=9242_Livescore_App&utm_campaign=eishockey_olympia&utm_content=lang_de&utm_term=banner_320x50
utm_source=coop&utm_medium=9276_E2_AT&utm_campaign=11_wettguthaben_0222&utm_content=lang_de&utm_term=popunder
"utm_source=coop&utm_medium=banner_320x50,9242_Livescore_App&utm_campaign=25_wettguthaben_0821&utm_content=lang_de"
utm_source=deeplink&gclsrc=3p.ds&gclid=64f2ac2762ad193ac5eef1ba4f45408a
UseKeys=true&participate=1&utm_source=coop&utm_medium=9276_E2_AT&utm_campaign=100_bonus&utm_content=lang_de&utm_term=popunder
utm_source=coop&utm_medium=9277_Livescore_Mobile_App_AT&utm_campaign=lothar_challenge_0122&utm_content=lang_de&utm_term=banner_320x50
utm_source=coop&utm_medium=9302_Krone&utm_campaign=11_wettguthaben_0222&utm_content=lang_de&utm_term=banner_320x480
embed=true&utm_source=social%20&utm_medium=9298_socialads_at&utm_campaign=goldenticket_flachau_0322
utm_source=coop&utm_medium=9242_Livescore_App&utm_campaign=25_wettguthaben_0222&utm_content=lang_de&utm_term=banner_320x50
"leagueIds=410812,1019&utm_source=affiliate&utm_medium=textlink&utm_campaign=Deutschland_BundesligaWetten_INT&utm_content=INT"
utm_source=affiliate&utm_medium=banner&utm_campaign=SportsbookMainpage_INT&utm_content=INT
utm_source=social%20&utm_medium=9298_socialads_at&utm_campaign=11_wettguthaben_0222&utm_content=lang_at&utm_term=facebook
"leagueid=410812,1019&utm_source=affiliate&utm_medium=textlink&utm_campaign=Deutschland_BundesligaWetten_INT&utm_content=INT"
utm_source=social&utm_medium=9298_socialads_at&utm_campaign=superbowl_2022&utm_content=lang_at&utm_term=facebook
utm_source=coop&utm_medium=9191_onefootball_ch&utm_campaign=200_bonus&utm_content=lang_de&utm_term=banner_300x250
utm_source=coop&utm_medium=9280_ORF&utm_campaign=11_wettguthaben_0222&utm_content=lang_de&utm_term=banner_320x480
utm_source=coop&utm_medium=9396_wettformat&utm_campaign=wettguthaben_0222&utm_content=lang_de&utm_term=textlink
utm_source=coop&utm_medium=9275_SR_AT&utm_campaign=wettguthaben_0222&utm_content=lang_de&utm_term=popunder
"utm_source=coop&utm_medium=banner_320x50,9242_Livescore_App&utm_campaign=25_wettguthaben_0821&utm_content=lang_de&showbet=true"
utm_source=coop&utm_medium=9396_wettformat&utm_campaign=superbowl_2022&utm_content=lang_de&utm_term=textlink
utm_source=social%20&utm_medium=9298_socialads_at&utm_campaign=eishockey_peking&utm_content=lang_at&utm_term=facebook
utm_source=coop&utm_medium=9272_forza_ch&utm_campaign=25_wettguthaben_0222&utm_content=lang_de&utm_term=banner_680x100
utm_source=coop&utm_medium=9241_fotmob_ch&utm_campaign=25_wettguthaben_0222&utm_content=lang_de&utm_term=textlink
utm_source=Affiliate&utm_campaign=100_bonus&utm_content=lang_de&utm_term=banner_300x250
utm_source=coop&utm_medium=9274_BG_Programmatic&utm_campaign=lothar_challenge_0821&utm_content=lang_de&utm_term=banner_300x250
utm_source=coop&utm_medium=9302_Krone&utm_campaign=wettguthaben_0222&utm_content=lang_de&utm_term=300x600
utm_source=coop&utm_medium=9277_Livescore_Mobile_App_AT&utm_campaign=eishockey_olympia&utm_content=lang_de&utm_term=banner_320x50
utm_source=coop&utm_medium=9301_OE24&utm_campaign=11_wettguthaben_0222&utm_content=lang_de&utm_term=banner_300x600
utm_source=coop&utm_medium=9274_BG_Programmatic&utm_campaign=eishockey_olympia&utm_content=lang_de&utm_term=banner_300x250
utm_source=coop&utm_medium=9277_livescore_at&utm_campaign=odds_integration&utm_content=lang_de&utm_term=odds&showbet=true
leagueids=10410&utm_source=coop&utm_medium=9242_livescore_ch&utm_campaign=odds_integration&utm_content=lang_de&utm_term=odds&showbet=true
returnUrl=%2fde%2fcontent%2fsportsbook%2fpromotions%2fspecial-freebet%3futm_source%3dsocial%26utm_medium%3d9298_socialads_at%26utm_campaign%3dsuperbowl_2022%26utm_content%3dlang_at%26utm_term%3dfacebook
returnUrl=%2fde%2fcontent%2fsportsbook%2fpromotions%2fwettguthaben%3futm_source%3dsocial%2520%26utm_medium%3d9298_socialads_at%26utm_campaign%3d11_wettguthaben_0222%26utm_content%3dlang_at%26utm_term%3dfacebook
utm_source=coop&utm_medium=8695_livescore_app_at&utm_campaign=odds_integration&utm_content=lang_de&utm_term=odds
utm_source=coop&utm_medium=9230_Betgenius-CH&utm_campaign=lothar_challenge_0122&utm_content=lang_de&utm_term=banner_300x250
utm_source=coop&utm_medium=9272_forza_ch&utm_campaign=25_wettguthaben_0222&utm_content=lang_de&utm_term=banner_640x320
utm_source=coop&utm_medium=9274_BG_Programmatic&utm_campaign=eishockey_olympia&utm_content=lang_de&utm_term=banner_320x50
utm_source=coop&utm_medium=9191_onefootball_ch
utm_source=affiliate&utm_medium=textlink&utm_campaign=NKB100&utm_content=DE
utm_source=coop&utm_medium=9274_BG_Programmatic&utm_campaign=lothar_challenge_0122&utm_content=lang_de&utm_term=banner_320x50
"utm_source=coop&utm_medium=banner_320x50,9277_Livescore_Mobile_App_AT&utm_campaign=11_wettguthaben_0821&utm_content=lang_de"
utm_source=affiliate&utm_medium=banner&utm_campaign=IWCASINO_CasinoMainpage&utm_content=INT
utm_source=coop&utm_medium=9240_futbol24_ch&utm_campaign=25_wettguthaben_0222&utm_content=lang_de&utm_term=banner_960x150
utm_source=affiliate&utm_medium=banner&utm_campaign=_RegistrationPageBanner_DE&utm_content=DE
returnUrl=%2fde%2fcontent%2fsportsbook%2fpromotions%2fspecial-freebet%3futm_source%3dcoop%26utm_medium%3d9396_wettformat%26utm_campaign%3dsuperbowl_2022%26utm_content%3dlang_de%26utm_term%3dtextlink
returnUrl=%2fde%2fcontent%2fsportsbook%2fpromotions%2fwettguthaben%3futm_source%3dcoop%26utm_medium%3d9396_wettformat%26utm_campaign%3dwettguthaben_0222%26utm_content%3dlang_de%26utm_term%3dtextlink
utm_source=coop&utm_medium=9396_wettformat&utm_campaign=lothar_challenge_0122&utm_content=lang_de&utm_term=textlink
utm_source=programmatic&utm_medium=adform&utm_campaign=100_nkb_2022&utm_content=nkb_ch&utm_term=banner_300x250
utm_source=coop&utm_medium=9230_Betgenius-CH&utm_campaign=lothar_challenge_0122&utm_content=lang_de&utm_term=banner_320x50
utm_source=programmatic&utm_medium=adform&utm_campaign=11_freebet_0222&utm_content=superbowl_at&utm_term=banner_300x250
utm_source=coop&utm_medium=9277_Livescore_Mobile_App_AT&utm_campaign=11_wettguthaben_0222&utm_content=lang_de&utm_term=banner_320x50
utm_source=coop&utm_medium=9272_forza_ch&utm_campaign=200_bonus&utm_content=lang_de&utm_term=banner_680x100
